id_hydro,name_hydro,id_meteo,name_meteo
151160060,G£OGÓW,0,no_info
151160140,OSETNO,251160110,OSETNO
151160170,BRZEG DOLNY,251160230,BRZEG DOLNY
151170030,TRESTNO,251170420,£ANY
