horizon,Model,Stacja,Zmienne,MAPE,BIAS
Forecast_-19D,Bayesian Ridge,GŁOGÓW (151160060) Stan wody [cm],Past,0.09030152739793346,-4.0360415366858815
Forecast_-20D,Bayesian Ridge,GŁOGÓW (151160060) Stan wody [cm],Past,0.09143611162433779,-4.302935186034064
Forecast_-21D,Bayesian Ridge,GŁOGÓW (151160060) Stan wody [cm],Past,0.09369384147286165,-4.600788707170469
Forecast_-22D,Bayesian Ridge,GŁOGÓW (151160060) Stan wody [cm],Past,0.09479744560967968,-4.925048505353725
Forecast_-23D,Bayesian Ridge,GŁOGÓW (151160060) Stan wody [cm],Past,0.09679922057102344,-5.22293519169057
Forecast_-24D,Bayesian Ridge,GŁOGÓW (151160060) Stan wody [cm],Past,0.09791814156606594,-5.515647068290932
Forecast_-25D,Bayesian Ridge,GŁOGÓW (151160060) Stan wody [cm],Past,0.09848003202213916,-5.814739079995744
Forecast_-26D,Bayesian Ridge,GŁOGÓW (151160060) Stan wody [cm],Past,0.09992779355637817,-6.12552160808884
Forecast_-27D,Bayesian Ridge,GŁOGÓW (151160060) Stan wody [cm],Past,0.10022931709116886,-6.467940367076924
Forecast_-28D,Bayesian Ridge,GŁOGÓW (151160060) Stan wody [cm],Past,0.10051692299425684,-6.793239412142348
Forecast_-29D,Bayesian Ridge,GŁOGÓW (151160060) Stan wody [cm],Past,0.10144929150341875,-7.116997781215143
Forecast_-30D,Bayesian Ridge,GŁOGÓW (151160060) Stan wody [cm],Past,0.10133182417217539,-7.433093832419344
Forecast_-1D,Bayesian Ridge,GŁOGÓW (151160060) Stan wody [cm],Past+Future,0.028816870394234893,0.4789381304365946
Forecast_-2D,Bayesian Ridge,GŁOGÓW (151160060) Stan wody [cm],Past+Future,0.039689752370821264,0.743953990820274
Forecast_-3D,Bayesian Ridge,GŁOGÓW (151160060) Stan wody [cm],Past+Future,0.04595087192005492,0.6157723585617337
Forecast_-4D,Bayesian Ridge,GŁOGÓW (151160060) Stan wody [cm],Past+Future,0.055316466063307056,0.06693693090154434
Forecast_-5D,Bayesian Ridge,GŁOGÓW (151160060) Stan wody [cm],Past+Future,0.057515753146014634,-0.41394472166155794
Forecast_-6D,Bayesian Ridge,GŁOGÓW (151160060) Stan wody [cm],Past+Future,0.06350932904843659,-0.8414333720463015
Forecast_-7D,Bayesian Ridge,GŁOGÓW (151160060) Stan wody [cm],Past+Future,0.06663528499097916,-1.2124643819215914
Forecast_-8D,Bayesian Ridge,GŁOGÓW (151160060) Stan wody [cm],Past+Future,0.06992683938600644,-1.5431353810837802
Forecast_-9D,Bayesian Ridge,GŁOGÓW (151160060) Stan wody [cm],Past+Future,0.07391973949062657,-1.815440984167334
Forecast_-10D,Bayesian Ridge,GŁOGÓW (151160060) Stan wody [cm],Past+Future,0.07649452485124608,-2.0609461745052156
Forecast_-11D,Bayesian Ridge,GŁOGÓW (151160060) Stan wody [cm],Past+Future,0.07889820623078801,-2.2828461724955766
Forecast_-12D,Bayesian Ridge,GŁOGÓW (151160060) Stan wody [cm],Past+Future,0.08122161067672931,-2.4768493811319354
Forecast_-13D,Bayesian Ridge,GŁOGÓW (151160060) Stan wody [cm],Past+Future,0.0816207556920469,-2.6573369789526415
Forecast_-14D,Bayesian Ridge,GŁOGÓW (151160060) Stan wody [cm],Past+Future,0.0836029867348944,-2.8428494240862547
Forecast_-15D,Bayesian Ridge,GŁOGÓW (151160060) Stan wody [cm],Past+Future,0.08415548095469523,-3.0590147821576537
Forecast_-16D,Bayesian Ridge,GŁOGÓW (151160060) Stan wody [cm],Past+Future,0.08810230731423417,-3.2775703481255674
Forecast_-17D,Bayesian Ridge,GŁOGÓW (151160060) Stan wody [cm],Past+Future,0.08871307024752849,-3.5103826758367136
Forecast_-18D,Bayesian Ridge,GŁOGÓW (151160060) Stan wody [cm],Past+Future,0.08918321754860448,-3.7818366158153665
Forecast_-19D,Bayesian Ridge,GŁOGÓW (151160060) Stan wody [cm],Past+Future,0.09025815234482085,-4.049107517561406
Forecast_-20D,Bayesian Ridge,GŁOGÓW (151160060) Stan wody [cm],Past+Future,0.09139046168025122,-4.316585778897172
Forecast_-21D,Bayesian Ridge,GŁOGÓW (151160060) Stan wody [cm],Past+Future,0.09364721724872922,-4.615317643002598
Forecast_-22D,Bayesian Ridge,GŁOGÓW (151160060) Stan wody [cm],Past+Future,0.09475564596975938,-4.940320673980213
Forecast_-23D,Bayesian Ridge,GŁOGÓW (151160060) Stan wody [cm],Past+Future,0.09674352446537086,-5.238602976047245
Forecast_-24D,Bayesian Ridge,GŁOGÓW (151160060) Stan wody [cm],Past+Future,0.09788781692911339,-5.531487078652826
Forecast_-25D,Bayesian Ridge,GŁOGÓW (151160060) Stan wody [cm],Past+Future,0.0984416415001969,-5.831088305323846
Forecast_-26D,Bayesian Ridge,GŁOGÓW (151160060) Stan wody [cm],Past+Future,0.09989583193804469,-6.142391319245665
Forecast_-27D,Bayesian Ridge,GŁOGÓW (151160060) Stan wody [cm],Past+Future,0.10018603277074259,-6.485203228227598
Forecast_-28D,Bayesian Ridge,GŁOGÓW (151160060) Stan wody [cm],Past+Future,0.10047920864239157,-6.810954608545349
Forecast_-29D,Bayesian Ridge,GŁOGÓW (151160060) Stan wody [cm],Past+Future,0.1014105471142491,-7.134900693274743
Forecast_-30D,Bayesian Ridge,GŁOGÓW (151160060) Stan wody [cm],Past+Future,0.10128815702147453,-7.450977702869777
Forecast_-1D,Baseline,RACIBÓRZ-MIEDONIA (150180060) Stan wody [cm],,0.07537791210894244,0.8151111938215316
Forecast_-2D,Baseline,RACIBÓRZ-MIEDONIA (150180060) Stan wody [cm],,0.12620605804412716,1.7809621289662232
Forecast_-3D,Baseline,RACIBÓRZ-MIEDONIA (150180060) Stan wody [cm],,0.15442268228367212,2.445333581464595
Forecast_-4D,Baseline,RACIBÓRZ-MIEDONIA (150180060) Stan wody [cm],,0.1779651896240386,2.9198846189634318
Forecast_-5D,Baseline,RACIBÓRZ-MIEDONIA (150180060) Stan wody [cm],,0.1913662955001071,3.405601563226947
